Item Number,Account Code,QtyBuy,Qty Requested,Qty Shipped,Unit Cost AVG,Sub Total AVG,Total value,Days AVG,Qty on Hand,Cost,Location 2,Location 3,Location 4
M400 25mm x 6mm,0000-2400-22,4,2,2,25.035,12.675,50.7,803,5,22.89,Upstairs (Cage Area),Rack 1,Row 3
PFA-90GN-BASKET,0000-2400-22,2,1,1,370.875,224.25,448.5,665,1,345,Upstairs (Cage Area),Rack 1,Row 6
0-500 PSIG,0000-2400-22,7,19,19,449.63,1177.08,8239.56,628,3,491.55,Upstairs (Cage Area),Rack 1,Row 4
BMEXBP1200,0000-2400-22,1,1,1,567.86,567.86,567.86,591,1,518.47,Upstairs (Cage Area),Rack 1,Row 1
BMXEHC0800,0000-2400-22,1,1,1,1117.72,1117.72,1117.72,584,1,820,Upstairs (Cage Area),Rack 1,Row 1
Nozzle- 2.10,0000-2400-24,2,4,4,388.865,777.73,1555.46,546,2,395,Upstairs (Cage Area),In Cabinet,Row 2
T6CC 017 008 1R00 C100,0000-2400-22,7,7,7,3179.68,3179.68,22257.76,527,1,4675,Floor (In Cage),Rack 3,Row 4
Nozzle-0.90,0000-2400-24,2,1,1,348.55,104.6,209.2,491,5,395,Upstairs (Cage Area),In Cabinet,Row 1
Nozzle-0.70,0000-2400-24,2,0,0,348.55,-92.9,-185.8,476,4,395,Upstairs (Cage Area),In Cabinet,Row 1
TCSEGDB23F24FA,0000-2400-22,1,1,1,1399.1,1399.1,1399.1,426,2,1216.61,Upstairs (Cage Area),Rack 1,Row 1
4660105,0000-2400-24,7,15,15,2664.17,5506.17,38543.19,416,1,2655.84,Upstairs (Cage Area),Rack 2,Row 9
140NOE77111,0000-2400-24,1,-1,-1,1500,-1500,-1500,390,1,1751,Upstairs (Cage Area),Rack 1,Row 1
4670486,0000-2400-24,5,6,6,2741.326,3543.396,17716.98,386,5,2816.71,HMC Clean Room,Centre Shelving,
BMXAMO0410,0000-2400-22,1,2,2,887.93,1775.86,1775.86,373,3,772.11,Upstairs (Cage Area),Rack 1,Row 1
140NOE77101,0000-2400-22,2,3,3,1612.5,2362.5,4725,353,11,1500,Upstairs (Cage Area),Rack 1,Row 1
FK 4.5-2/14.5/NPTS90/S622/S653,0000-2400-22,5,37,37,20.042,148.964,744.82,337,6,20.29,Upstairs (Cage Area),Rack 2B,Row 4
8200-00161-N1,0000-2400-22,4,-1,-1,451.6025,-12.2075,-48.83,336,4,406.85,Upstairs (Cage Area),Rack 1,Row 6
SE-T40,0000-2400-22,12,56,56,20.8108,96.0116,1152.14,324,20,26.24,Upstairs (Cage Area),Rack 1,Row 3
